right_FP_x,right_FP_y,right_FP_z,left_FP_x,left_FP_y,left_FP_z,shank_acc_x,shank_acc_y,shank_acc_z,shank_gyro_x,shank_gyro_y,shank_gyro_z,foot_acc_x,foot_acc_y,foot_acc_z,foot_gyro_x,foot_gyro_y,foot_gyro_z,thigh_acc_x,thigh_acc_y,thigh_acc_z,thigh_gyro_x,thigh_gyro_y,thigh_gyro_z,torso_acc_x,torso_acc_y,torso_acc_z,torso_gyro_x,torso_gyro_y,torso_gyro_z,hip_angle,knee_angle,L5_S1_flex_angle,hip_torque,knee_torque,L5_S1_flex_torque
-13.6947631835938,52.1469116210938,-361.557006835938,0.762939453125,-19.7219848632813,-255.661010742188,-0.555236339569092,-8.98171329498291,-4.6968412399292,-0.252825558185577,-0.0578210279345512,-0.287963300943375,-0.149312257766724,-4.25027656555176,8.31440734863281,0.0287019442766905,-0.077040046453476,0.0502059236168861,0.299687087535858,-7.20803499221802,4.78485155105591,0.49742329120636,-0.865106165409088,0.18543329834938,1.23528504371643,-7.5569953918457,-6.17882061004639,-1.00279259681702,-1.5154070854187,-0.828528642654419,34.6681433,-58.32562303,-8.50538066,-0.587947505603787,0.591130132815002,1.33153351109834
-13.6566162109375,52.032470703125,-361.328125,1.068115234375,-19.7601318359375,-256.04248046875,-0.545249581336975,-8.98519134521484,-4.69488906860352,-0.253902643918991,-0.0636648684740067,-0.289217352867126,-0.147114932537079,-4.24957084655762,8.31430912017822,0.0288330484181643,-0.0785314068198204,0.0503177382051945,0.326622515916824,-7.20865869522095,4.76965284347534,0.496909469366074,-0.864159941673279,0.185408428311348,1.22596871852875,-7.56774044036865,-6.18338489532471,-1.00181496143341,-1.51865816116333,-0.82859879732132,34.7248501045,-58.3641640335,-8.5085015145,-0.587222087998168,0.591020445430033,1.33497953248401
-13.7710571289063,52.0706176757813,-361.02294921875,0.87738037109375,-19.7601318359375,-256.118774414063,-0.530133545398712,-8.98378562927246,-4.68805456161499,-0.255046546459198,-0.0690881162881851,-0.29035958647728,-0.142901390790939,-4.24939727783203,8.31270217895508,0.0290309637784958,-0.0800823345780373,0.050568763166666,0.34748238325119,-7.2148494720459,4.7529239654541,0.497616112232208,-0.862048864364624,0.185527503490448,1.2159138917923,-7.57534027099609,-6.18745279312134,-1.00014162063599,-1.52035343647003,-0.829166829586029,34.781556909,-58.402705037,-8.511622369,-0.586496670392549,0.590910758045064,1.33842555386968
-13.885498046875,52.1087646484375,-360.7177734375,0.6866455078125,-19.7601318359375,-256.195068359375,-0.515017509460449,-8.98237895965576,-4.68121957778931,-0.256190448999405,-0.0745113641023636,-0.291501820087433,-0.138687834143639,-4.24922370910645,8.31109428405762,0.0292288791388273,-0.0816332623362541,0.0508197881281376,0.368342220783234,-7.22104024887085,4.73619508743286,0.498322755098343,-0.859937727451324,0.185646593570709,1.20585894584656,-7.58294010162354,-6.19152069091797,-0.998468339443207,-1.52204871177673,-0.829734802246094,34.8382637135,-58.4412460405,-8.5147432235,-0.58577125278693,0.590801070660095,1.34187157525535
-13.7710571289063,52.1469116210938,-360.107421875,0.64849853515625,-19.683837890625,-256.576538085938,-0.499901473522186,-8.98097324371338,-4.67438507080078,-0.257334351539612,-0.0799346119165421,-0.292644053697586,-0.134474292397499,-4.24905014038086,8.30948734283447,0.0294267926365137,-0.083184190094471,0.0510708168148994,0.389202058315277,-7.2272310256958,4.71946620941162,0.499029368162155,-0.85782665014267,0.185765668749809,1.19580411911011,-7.59053993225098,-6.1955885887146,-0.996794998645782,-1.52374398708344,-0.830302834510803,34.894970518,-58.479787044,-8.517864078,-0.585045835181311,0.590691383275126,1.34531759664102
-13.6566162109375,52.18505859375,-359.4970703125,0.6103515625,-19.6075439453125,-256.9580078125,-0.484785437583923,-8.979567527771,-4.6675500869751,-0.258478254079819,-0.0853578597307205,-0.293786287307739,-0.13026075065136,-4.24887657165527,8.30787944793701,0.0296247079968452,-0.0847351178526878,0.051321841776371,0.410061925649643,-7.23342132568359,4.70273733139038,0.49973601102829,-0.855715572834015,0.18588475883007,1.18574929237366,-7.59813976287842,-6.19965648651123,-0.995121657848358,-1.52543926239014,-0.830870866775513,34.9516773225,-58.5183280475,-8.5209849325,-0.584320417575692,0.590581695890157,1.34876361802669
-13.6566162109375,52.337646484375,-359.344482421875,0.57220458984375,-19.7219848632813,-257.720947265625,-0.469669371843338,-8.97816181182861,-4.66071557998657,-0.259622156620026,-0.090781107544899,-0.294928550720215,-0.12604720890522,-4.24870300292969,8.30627250671387,0.0298226233571768,-0.0862860456109047,0.0515728667378426,0.430921763181686,-7.23961210250854,4.68600845336914,0.500442624092102,-0.853604435920715,0.186003834009171,1.17569434642792,-7.60573959350586,-6.2037239074707,-0.993448317050934,-1.52713453769684,-0.831438899040222,35.008384127,-58.556869051,-8.524105787,-0.583594999970073,0.590472008505188,1.35220963941236
-13.6566162109375,52.490234375,-359.19189453125,0.5340576171875,-19.83642578125,-258.48388671875,-0.454553335905075,-8.97675609588623,-4.65388059616089,-0.260766059160233,-0.0962043553590775,-0.296070784330368,-0.1218336597085,-4.2485294342041,8.30466461181641,0.0300205368548632,-0.0878369733691216,0.0518238916993141,0.45178160071373,-7.2458028793335,4.6692795753479,0.501149296760559,-0.851493358612061,0.186122924089432,1.16563951969147,-7.6133394241333,-6.20779180526733,-0.99177497625351,-1.52882981300354,-0.832006931304932,35.0650909315,-58.5954100545,-8.5272266415,-0.582869582364454,0.590362321120219,1.35565566079803
-13.5040283203125,52.4139404296875,-358.963012695313,0.3814697265625,-19.8745727539063,-258.865356445313,-0.439437299966812,-8.97534942626953,-4.64704608917236,-0.261909961700439,-0.101627603173256,-0.297213017940521,-0.11762011796236,-4.24835538864136,8.30305767059326,0.0302184522151947,-0.089387908577919,0.0520749166607857,0.472641468048096,-7.25199365615845,4.65255069732666,0.501855909824371,-0.849382281303406,0.186241999268532,1.15558469295502,-7.6209397315979,-6.21185970306396,-0.99010157585144,-1.53052508831024,-0.832574903964996,35.121797736,-58.633951058,-8.530347496,-0.582144164758835,0.59025263373525,1.3591016821837
-13.3514404296875,52.337646484375,-358.734130859375,0.2288818359375,-19.9127197265625,-259.246826171875,-0.424321234226227,-8.97394371032715,-4.64021110534668,-0.263053864240646,-0.107050850987434,-0.298355251550674,-0.11340656876564,-4.24818181991577,8.3014497756958,0.0304163675755262,-0.0909388363361359,0.0523259416222572,0.493501305580139,-7.25818395614624,4.63582181930542,0.502562522888184,-0.847271144390106,0.186361089348793,1.14552974700928,-7.62853956222534,-6.2159276008606,-0.988428235054016,-1.53222036361694,-0.833142936229706,35.1785045405,-58.6724920615,-8.5334683505,-0.581418747153216,0.590142946350281,1.36254770356937
-13.2369995117188,52.2232055664063,-358.047485351563,0.0762939453125,-19.7982788085938,-259.628295898438,-0.409205198287964,-8.97253799438477,-4.63337659835815,-0.264197796583176,-0.112474098801613,-0.299497485160828,-0.109193027019501,-4.24800825119019,8.29984283447266,0.0306142810732126,-0.0924897640943527,0.0525769665837288,0.514361143112183,-7.26437473297119,4.61909341812134,0.503269195556641,-0.845160067081451,0.186480164527893,1.13547492027283,-7.63613939285278,-6.21999549865723,-0.986754894256592,-1.53391551971436,-0.833710968494415,35.235211345,-58.711033065,-8.536589205,-0.580693329547597,0.590033258965312,1.36599372495503
-13.12255859375,52.1087646484375,-357.36083984375,-0.0762939453125,-19.683837890625,-260.009765625,-0.394089162349701,-8.97113227844238,-4.62654161453247,-0.265341699123383,-0.117897346615791,-0.300639718770981,-0.104979477822781,-4.2478346824646,8.2982349395752,0.0308121964335442,-0.0940406918525696,0.0528279952704906,0.535220980644226,-7.27056550979614,4.6023645401001,0.503975808620453,-0.843048989772797,0.186599254608154,1.12542009353638,-7.64373922348022,-6.22406339645386,-0.985081553459167,-1.53561079502106,-0.834279000759125,35.2919181495,-58.7495740685,-8.5397100595,-0.579967911941978,0.589923571580343,1.3694397463407
-13.1988525390625,52.0706176757813,-356.826782226563,0.11444091796875,-19.7219848632813,-260.31494140625,-0.378973126411438,-8.96972560882568,-4.61970710754395,-0.266485601663589,-0.12332059442997,-0.301781982183456,-0.100765936076641,-4.24766111373901,8.29662799835205,0.0310101117938757,-0.0955916196107864,0.0530790202319622,0.556080877780914,-7.27675628662109,4.58563566207886,0.504682421684265,-0.840937912464142,0.186718329787254,1.11536526679993,-7.65133905410767,-6.22813081741333,-0.983408212661743,-1.53730607032776,-0.834846973419189,35.348624954,-58.788115072,-8.542830914,-0.579242494336359,0.589813884195374,1.37288576772637
-13.275146484375,52.032470703125,-356.292724609375,0.30517578125,-19.7601318359375,-260.6201171875,-0.363857060670853,-8.9683198928833,-4.61287212371826,-0.267629504203796,-0.128743842244148,-0.30292421579361,-0.096552386879921,-4.24748754501343,8.29502010345459,0.0312080252915621,-0.0971425473690033,0.0533300451934338,0.576940715312958,-7.28294658660889,4.56890678405762,0.505389094352722,-0.838826775550842,0.186837419867516,1.10531032085419,-7.65893888473511,-6.23219871520996,-0.981734871864319,-1.53900134563446,-0.835415005683899,35.4053317585,-58.8266560755,-8.5459517685,-0.57851707673074,0.589704196810405,1.37633178911204
-13.275146484375,51.9943237304688,-355.8349609375,0.19073486328125,-19.7219848632813,-260.848999023438,-0.34874102473259,-8.96691417694092,-4.60603761672974,-0.268773406744003,-0.134167090058327,-0.304066449403763,-0.0923388451337814,-4.24731397628784,8.29341316223145,0.0314059406518936,-0.0986934751272202,0.0535810701549053,0.597800552845001,-7.28913736343384,4.55217790603638,0.506095707416534,-0.836715698242188,0.186956495046616,1.09525549411774,-7.66653871536255,-6.23626661300659,-0.980061531066895,-1.54069662094116,-0.835983037948608,35.462038563,-58.865197079,-8.549072623,-0.577791659125121,0.589594509425436,1.37977781049771
-13.275146484375,51.9561767578125,-355.377197265625,0.0762939453125,-19.683837890625,-261.077880859375,-0.322217583656311,-8.96039867401123,-4.62542676925659,-0.26923018693924,-0.138723000884056,-0.305104106664658,-0.0832176581025124,-4.2479076385498,8.29276943206787,0.0317743681371212,-0.0998742505908012,0.0538304187357426,0.604849219322205,-7.30145072937012,4.55302047729492,0.507673978805542,-0.836106240749359,0.186982214450836,1.0822981595993,-7.6666898727417,-6.24248504638672,-0.977575898170471,-1.53975522518158,-0.83669251203537,35.5187453675,-58.9037380825,-8.5521934775,-0.577066241519502,0.589484822040467,1.38322383188338
-13.0462646484375,52.0706176757813,-355.148315429688,-0.152587890625,-19.7219848632813,-261.688232421875,-0.295694172382355,-8.95388412475586,-4.64481592178345,-0.269686967134476,-0.143278926610947,-0.30614173412323,-0.0740964785218239,-4.24850130081177,8.29212474822998,0.0321427956223488,-0.101055018603802,0.0540797673165798,0.611897885799408,-7.3137640953064,4.55386257171631,0.50925225019455,-0.835496842861176,0.187007933855057,1.06934070587158,-7.66684055328369,-6.24870300292969,-0.975090265274048,-1.53881371021271,-0.837401986122131,35.575452172,-58.942279086,-8.555314332,-0.576340823913883,0.589375134655498,1.38666985326905
