right_FP_x,right_FP_y,right_FP_z,left_FP_x,left_FP_y,left_FP_z,shank_acc_x,shank_acc_y,shank_acc_z,shank_gyro_x,shank_gyro_y,shank_gyro_z,foot_acc_x,foot_acc_y,foot_acc_z,foot_gyro_x,foot_gyro_y,foot_gyro_z,thigh_acc_x,thigh_acc_y,thigh_acc_z,thigh_gyro_x,thigh_gyro_y,thigh_gyro_z,torso_acc_x,torso_acc_y,torso_acc_z,torso_gyro_x,torso_gyro_y,torso_gyro_z,hip_angle,knee_angle,L5_S1_flex_angle,hip_torque,knee_torque,L5_S1_flex_torque
-18.9590454101563,-25.93994140625,-194.625854492188,-21.4004516601563,-36.62109375,-456.085205078125,1.44090270996094,-10.0014486312866,-2.25777411460876,-0.198098748922348,-0.0781962722539902,-0.330141067504883,-0.0824337750673294,-4.36576986312866,8.28012275695801,0.0544143654406071,-0.105080619454384,0.0404713191092014,1.94924569129944,-9.5654182434082,-1.9792708158493,0.40762722492218,-0.680372297763824,-0.175518870353699,0.974196672439575,-9.99875736236572,-1.37047374248505,0.0769000053405762,-0.681409001350403,-0.0996821373701096,3.69158255,-11.09390952,-2.9835702,-0.0328872067550703,0.0602611760023223,1.12617844554375
-19.073486328125,-25.787353515625,-194.244384765625,-21.209716796875,-36.6973876953125,-456.54296875,1.45360326766968,-10.0027828216553,-2.27030539512634,-0.197134003043175,-0.0786258652806282,-0.329835146665573,-0.082424096763134,-4.36707830429077,8.28020668029785,0.0543449372053146,-0.105219475924969,0.040392491966486,1.9566615819931,-9.56882858276367,-1.97826528549194,0.406407177448273,-0.682797849178314,-0.175582513213158,0.97905170917511,-10.0043573379517,-1.37432646751404,0.0763424262404442,-0.678908884525299,-0.0997327640652657,3.69169712342351,-11.093910069041,-2.98362979855597,-0.0338127827630787,0.059992847457272,1.13088696259004
-18.8446044921875,-25.7492065429688,-194.168090820313,-21.3241577148438,-36.8118286132813,-456.924438476563,1.46630370616913,-10.0041170120239,-2.28283667564392,-0.19616924226284,-0.0790554657578468,-0.329529225826263,-0.082414411008358,-4.36838626861572,8.28029155731201,0.0542755089700222,-0.105358332395554,0.0403136610984802,1.96407735347748,-9.57223892211914,-1.97725987434387,0.405187129974365,-0.685223460197449,-0.175646170973778,0.983906745910645,-10.0099573135376,-1.37817907333374,0.0757848396897316,-0.676408767700195,-0.0997833907604218,3.69181169684701,-11.0939106180821,-2.98368939711194,-0.0347383587710871,0.0597245189122218,1.13559547963633
-18.61572265625,-25.7110595703125,-194.091796875,-21.4385986328125,-36.92626953125,-457.305908203125,1.47600710391998,-10.0046997070313,-2.29090976715088,-0.194999843835831,-0.0785167068243027,-0.329245746135712,-0.0773055627942085,-4.36685037612915,8.28100109100342,0.054303701967001,-0.105339534580708,0.0402912199497223,1.97573018074036,-9.56876754760742,-1.97389853000641,0.403539001941681,-0.690529525279999,-0.175034329295158,0.985494613647461,-10.0190591812134,-1.38859868049622,0.0747903659939766,-0.67352968454361,-0.0996445268392563,3.69192627027052,-11.0939111671231,-2.98374899566791,-0.0356639347790955,0.0594561903671715,1.14030399668262
-18.61572265625,-25.5966186523438,-193.405151367188,-21.3241577148438,-36.92626953125,-457.687377929688,1.48571038246155,-10.0052814483643,-2.29898309707642,-0.193830460309982,-0.0779779478907585,-0.32896226644516,-0.0721967220306396,-4.36531400680542,8.28171062469482,0.05433189868927,-0.105320736765862,0.0402687825262547,1.98738300800323,-9.56529521942139,-1.97053730487823,0.401890903711319,-0.695835649967194,-0.1744225025177,0.987082540988922,-10.0281610488892,-1.39901828765869,0.0737958922982216,-0.670650601387024,-0.0995056629180908,3.69204084369403,-11.0939117161642,-2.98380859422388,-0.036589510787104,0.0591878618221213,1.14501251372891
-18.61572265625,-25.482177734375,-192.718505859375,-21.209716796875,-36.92626953125,-458.06884765625,1.4954137802124,-10.0058641433716,-2.30705618858337,-0.192661061882973,-0.0774391815066338,-0.328678786754608,-0.0670878738164902,-4.36377811431885,8.28241920471191,0.0543600916862488,-0.105301946401596,0.0402463413774967,1.99903583526611,-9.56182384490967,-1.96717596054077,0.400242775678635,-0.701141715049744,-0.173810660839081,0.988670408725739,-10.0372629165649,-1.40943789482117,0.0728014186024666,-0.667771518230438,-0.099366806447506,3.69215541711754,-11.0939122652052,-2.98386819277985,-0.0375150867951124,0.058919533277071,1.14972103077519
-18.5775756835938,-25.3677368164063,-192.642211914063,-21.1334228515625,-36.8118286132813,-458.526611328125,1.50511717796326,-10.0064468383789,-2.31512951850891,-0.191491678357124,-0.0769004225730896,-0.328395307064056,-0.0619790256023407,-4.36224174499512,8.28312873840332,0.0543882846832275,-0.10528314858675,0.0402239002287388,2.01068878173828,-9.55835151672363,-1.96381461620331,0.39859464764595,-0.706447839736938,-0.173198834061623,0.990258276462555,-10.0463647842407,-1.41985762119293,0.0718069449067116,-0.664892435073853,-0.0992279425263405,3.69226999054104,-11.0939128142463,-2.98392779133582,-0.0384406628031208,0.0586512047320207,1.15442954782148
-18.5394287109375,-25.2532958984375,-192.56591796875,-21.05712890625,-36.6973876953125,-458.984375,1.51482045650482,-10.0070295333862,-2.32320261001587,-0.190322279930115,-0.0763616636395454,-0.328111827373505,-0.0568701811134815,-4.36070585250854,8.28383827209473,0.0544164814054966,-0.105264350771904,0.0402014590799809,2.02234148979187,-9.55488014221191,-1.96045327186584,0.396946519613266,-0.711753904819489,-0.172586992383003,0.991846144199371,-10.0554666519165,-1.43027722835541,0.0708124786615372,-0.662013411521912,-0.099089078605175,3.69238456396455,-11.0939133632873,-2.98398738989179,-0.0393662388111292,0.0583828761869705,1.15913806486777
-18.4249877929688,-25.32958984375,-192.031860351563,-21.0952758789063,-36.8118286132813,-459.442138671875,1.52452385425568,-10.0076112747192,-2.33127570152283,-0.189152881503105,-0.0758229047060013,-0.327828347682953,-0.051761332899332,-4.35916948318481,8.28454780578613,0.0544446744024754,-0.105245552957058,0.0401790216565132,2.03399443626404,-9.55140781402588,-1.95709204673767,0.395298421382904,-0.717059969902039,-0.171975165605545,0.993434071540833,-10.0645685195923,-1.44069683551788,0.0698180049657822,-0.659134328365326,-0.0989502146840096,3.69249913738806,-11.0939139123284,-2.98404698844776,-0.0402918148191376,0.0581145476419202,1.16384658191406
-18.310546875,-25.4058837890625,-191.497802734375,-21.1334228515625,-36.92626953125,-459.89990234375,1.53422713279724,-10.0081939697266,-2.33934903144836,-0.187983497977257,-0.0752841457724571,-0.327544867992401,-0.0466524884104729,-4.35763359069824,8.28525638580322,0.0544728711247444,-0.105226755142212,0.0401565805077553,2.04564714431763,-9.54793643951416,-1.95373070240021,0.39365029335022,-0.722366094589233,-0.171363323926926,0.995021939277649,-10.0736703872681,-1.45111644268036,0.0688235312700272,-0.65625524520874,-0.0988113582134247,3.69261371081157,-11.0939144613694,-2.98410658700373,-0.041217390827146,0.05784621909687,1.16855509896034
